Sentence,Aspect Term,polarity
the mouse jumps around all the time and it clicks stuff i dont want it too.,mouse,negative
To be honest i think it was faulty equipment or something but idk.,equipment,negative
Awesome graphics!,graphics,positive
"Of course, I inspected the other netbooks and clearly their hinges are tighter and I even demonstrate the difference between my netbook and others.",hinges,negative
  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,power supply,negative
Do yourself a favor and invest in a few external harddrives if you are planning on purchasing this laptop.,external harddrives,negative
"Garageband is more for the musicians, and the laptop is equipped with a good working microphone, good enough for beginners and musicians at the intermediate level.",Garageband,neutral
"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time.",MSN Messenger,neutral
It does not even have the software to play a dvd now.,software,negative
"This purchase opened me to the world of Macbooks, and I am impressed with the intuition of the design, the beauty of the product, and the excellent technological advances associated with it.",beauty,positive
overall i would recomend this to anybody and tell them that if they want to burn their music or play there video games to buy the cd drive.,video games,neutral
"Who couldn't love a DVD burner, 80-gigabyte HD, and fairly new graphics chip? As I soon discovered, though, there is a reason for which similarly-configured Sony and Toshiba machines cost more: they use higher-quality components that are faster, better-configured, and end up lasting a lot longer.",graphics chip,positive
"Screen, keyboard, and mouse: If you cant see yourself spending the extra money to jump up to a Mac the beautiful screen, responsive island backlit keyboard, and fun multi-touch mouse is worth the extra money to me alone.",mouse,neutral
I already have a HP laptop I bought last year that's standard size.,size,neutral
He has replaced his hard drive twice and (of course) has had to pay for antivirus software every year.,hard drive,negative
"The processor screams, and because of the unique way that Apple OSX 16 functions, most of the graphics are routed through the hardware rather than the software.",OSX 16,positive
Keyboard could use some trimming.,Keyboard,negative
  There's literally no way to make it sing with Vista.,Vista,negative
I also like that you can scroll down in a window using two fingers on the trackpad.,trackpad,positive
"  Only a few days after I received the computer back, the screen froze again.",screen,negative
"Crisp screen, great battery life, and plenty of storage.",screen,positive
It doesnt work worth a damn.,work,negative
Learning all of the keyboard shortcuts only took a few minutes to get used to as some of the shortcuts are the same on Windows machines.,keyboard shortcuts,positive
They are about the same size keys.,keys,neutral
It is VERY easy to type on and feels great - besides the added feature that the keyboard is lighted.,type,positive
"One more tip, please purchase this model and get a 4GB stick of RAM to save you $10",4GB stick of RAM,positive
Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,service,positive
The materials that came with the computer did not include the right # anywhere.,materials,negative
"The 13"" Macbook Pro just fits in my budget and with free shipping and no tax to CA this is the best price we can get for a great product.",budget,positive
The Toshiba laptop I am using is easier to use than most I have tried.,use,positive
"I love the solid machined aluminum frame, and the keyboard is the best of any laptop I've used.",machined aluminum frame,positive
The screen is very large and crystal clear with amazing colors and resolution.,resolution,positive
and plenty of storage with 250 gb(though I will upgrade this and the ram..),storage,positive
I had to re-install Windows within two weeks of the purchase and soon discovered cracks in the screen hinges.,Windows,negative
"So then you may be lucky to get ahold to someone who understands that its no good and they will let you send it back, but of course you are taking a chance of them testing it out to see what has happened, and they tell you that it was not on their side , then you are stuck paying for the repair (the price of a new one).",price,negative
It is extremely portable and easily connects to WIFI at the library and elsewhere.,connects to WIFI,positive
"I think part of the problem with this computer is Vista, yet I know Vista isn't the entire issue because my latest purchase was my Acer and it also has Vista (I should have waited the few months to get the next operating system).",Vista,negative
"Its not just slow on the internet, its slow in general.",internet,negative
I looked around and based off my price/features comparison from a brand I trusted I landed here.,price,neutral
I would recommend it just because of the internet speed probably because thats the only thing i really care about.,internet speed,positive
It has bein into the shop to get a new hardrive 2 times and to fix the touch control buttons on the keyboard!,keyboard,negative
"I run windows via bootcamp for the couple programs I do not want to buy a mac version of, like my cad programs.",cad programs,neutral
I cannot be happier with the service or product.,service,positive
I got my MacBook Pro because I wanted to do all the stuff I need to do without worrying about the system quitting on me or freezing for a few minutes.,system,neutral
"When we bought our new HP comouter in Dec. of 2008, we wanted Windows XP, but were told it would cost an extra $159, so we went with Vista.",Vista,neutral
"Apparently well-built and gorgeous to look at, the i5 MacBook Pro is a winning combination of price and performance.",built,positive
The paint wears off easily due to the keyboard being farther back than usual.,keyboard,negative
"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.",iPhoto,positive
I recommend for word processing and internet users.,word processing,positive
the mouse is way way way to sensitve.,mouse,negative
"Then, within 5 months, the charger crapped out on me.",charger,negative
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",Photo Booth,neutral
"This is likely due to poor grounding and isolation between the components, and I'm hoping that it can be fixed with a ground loop isolator, but I still expected better product quality for this price range.",quality,negative
The OS takes some getting used to especially after being a Windows user for so long but the learning curve is so worth it!,Windows,neutral
The internet capabilities are also very strong and picks up signals very easily.,internet capabilities,positive
"also you may need to charge it once a day, if for medium use every thing fast and easy with mac  the size and look is the most feature that attracted me to it.",size,positive
"I use this for my tutoring business, and since I'm always bouncing from student to student, it is ideal for portability and battery life (yes, it gets the 8 hours as advertised!).",battery life,positive
"I also purchased iWork to go with it which has programs for word processing, spreadsheets, and presentations (similar to Microsoft Office).",programs,neutral
Other than that its a great performing machine and well meets all my needs and more.,performing,positive
This system came loaded with Windows 7 Starter.,Windows 7 Starter,neutral
Every driver on the drivers/applications DVD is everything you will need for a reload.,drivers/applications DVD,positive
then on top of it all their cusromer service center is in the middle east.,cusromer service center,negative
"Finally, I should note that I took the 2GB RAM stick from my old EeePC and installed it before I even powered on for the first time.",2GB RAM stick,neutral
"But sitting on a lap or on a desk in front of you it looks more than big enough (this could be because Im used to my Lenovo 10 tablet now) plus this is a great size if I want to unplug the external keyboard, mouse, and monitor to take it with me when I take photos and video.",monitor,neutral
"The battery life sucked the juice from my laptop and when the extended life battery went out we were SOL there to, so much for that warranty covering all the products we purchased.",warranty,negative
"First things first, Macbook pro has many applications to make life easier, unlike the windows computers.",applications,positive
I highly recommend this laptop to anybody that wants great performance from a laptop and would like to relax and not become enraged cursing the gods about to throw your laptop out the door.,performance,positive
iPhotos is an excellent program for storing and organizing photos.,program,positive
"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",Photobooth,positive
"It has come into good use for my finances, scheduling, my parents business expenses, and it is definitely amazing for gaming.",use,positive
apple has a reputation and is well known for its easy usage.,usage,positive
I love WIndows 7 which is a vast improvment over Vista.,Vista,negative
"Also the speakers are not very loud, But it is a netbook.",speakers,negative
"The dv4 boasted a faster processor, more memory, and a bigger hard drive than my old computer, plus a better quality web cam, nicer screen, and many other features.",features,positive
I've been impressed with the battery life and the performance for such a small amount of memory.,performance,positive
"Also, one of the users mentioned how the edges on the macbook is sharp, if you have money to spend on one of the incase shells, it doesn't seem to be a problem.",incase shells,positive
"The screen is a little glary, and I hated the clicking buttons, but I got used to them.",screen,negative
the mcbook pro notebook will make it easy for you to write and read your emails at blazing speeds.,speeds,positive
"Overall : Poor, Features: Average, Performance: Poor, Battery Life: Excellent, Price-Value: Poor",Features,neutral
" I actually had the hard drive replaced twice, the mother board once, the dvd drive twice, then they FINALLY agreed to replace it, (ALL OF THIS IN LESS THAN 1 1/2 YEARS!",mother board,negative
"So I called Compaq, and after being on the phone for 3 hours, i finally got a replacement which I shouldn't have had a problem getting since it was under warranty.",warranty,neutral
"Overall, this laptop is definitely a keeper with its simple yet stylish design and its array of fantastic colors to choose from.",design,positive
This is great if you have several lectures back to back and don't have a chance to charge during one of the lectures.,charge,positive
It's super fast and a great value for the price!,price,positive
wonderful features.,features,positive
"After having two PC laptops die with in the past 3 years, I was led to the Apple display at Best Buy by the sleek design and promise of less tech issues.",design,positive
"It's like 9 punds, but if you can look past it, it's GREAT!",9 punds,negative
"Who couldn't love a DVD burner, 80-gigabyte HD, and fairly new graphics chip? As I soon discovered, though, there is a reason for which similarly-configured Sony and Toshiba machines cost more: they use higher-quality components that are faster, better-configured, and end up lasting a lot longer.",HD,positive
"I had my IWORKS, Itunes, Email, MS Office, network and printers set up and completely working perfectly within an hour.",Itunes,positive
It is in the best condition and has a really high quality.,quality,positive
"The only thing that I have, is the key broad is a little dark to see the letters, would help if it was a little lighter then it is.",key broad,negative
"Screen, keyboard, and mouse: If you cant see yourself spending the extra money to jump up to a Mac the beautiful screen, responsive island backlit keyboard, and fun multi-touch mouse is worth the extra money to me alone.",Screen,neutral
I reinstalled windows through the recovery discs and everything seemed good again.,recovery discs,positive
"Still under warrenty so called Toshiba, no help at all.",warrenty,negative
All for such a great price.,price,positive
after much effort and 10 days ASUS replaced itThe WiFi is very weak.,WiFi,negative
"Setting would change for some reason, the screen size would change on it's own, like the pixel sizes and whatnot.",pixel sizes,negative
"Returned laptop for repair a 2nd time and it came back with obvious physical damage (keyboard bulging and speaker grill pressed in), buttons not working and USB ports inoperative.",buttons,negative
"I work in film editing and post production, so I need a laptop that not only has power, but memory and speed as well.",power,neutral
"I wish iWork or MS Office came with the Mac, but MS Office doesn't even come with most pc laptops.",MS Office,negative
"My friend reports the notebook is astonishing in performance, picture quality, and ease of use.",use,positive
Now I have the best of both worlds with all of the power and ease of the Mac!,ease,positive
"Great OS, fabulous improvements to the existing line bumping up the processor speed and adding the thunderbolt port.",OS,positive
Boots up fast and runs great!,runs,positive
"The ATI graphics card is a huge plus, definitely a good value if you need to be able to run some slightly older games that a Intel built-in card would have trouble with, such as Half-Life 2 or even World of Warcraft.",ATI graphics card,positive
"The screen graphics and clarity, and sharpness are great.",screen graphics,positive
"Most everything is fine with this machine: speed, capacity, build.",build,positive
I loved the netbook (minus the fact that it was windows OS) until this started happening.,windows OS,negative
"Whenever I call Dell about an unrelated problem, they ask me if my laptop is running slowly and if I'd like to purchase more memory for $75.",memory,neutral
"Screen is awesome, battery life is good.",battery life,positive
"Graphics are clean and sharp, internet interfaces are seamless.",internet interfaces,positive
"I run windows via bootcamp for the couple programs I do not want to buy a mac version of, like my cad programs.",bootcamp,neutral
"The best thing to do is build your own computer, but if u can't company's like dell who allow you to choose the components are better and for the same price you can get a computer who compares to one of apple $2000 systems and if you google ""dell coupons"" you can find codes that take a signifant  amount off the price.",price,positive
"A month or so ago, the freaking motherboard just died.",motherboard,negative
The screen is very large and crystal clear with amazing colors and resolution.,colors,positive
It runs very quiet too which is a plus.,runs,positive
I also had a problem with the touchpad that caused the mouse pointer to jump all over the screen.,screen,neutral
It gives me the power and speed that I need to run all the programs I use to edit.,power,positive
Despite the claims of the Apple apologists (a vice of which I am recently myself reformed) the internals of Mac laptops are NO different from PCs' at this point.,internals,negative
"Great battery, speed, display.",battery,positive
The resolution is even higher then any other laptop on the market.,resolution,positive
"Its pretty fast and does not have hiccups while I am using it for web browsing, uploading photos, watching movies (720p) on occasion and creating presentations.",watching movies,positive
"the headphone and mic jack are in front of touch-pad making the touch-pad hard to use when using headphones/mic, not to mention the laptop was designed for right handed person.",headphone,negative
"This is likely due to poor grounding and isolation between the components, and I'm hoping that it can be fixed with a ground loop isolator, but I still expected better product quality for this price range.",price range,negative
This computer is exceptionally thin for it's screen size and processing power.,screen size,positive
BUT there's this application called Boot Camp which allows you to add another OS X like Windows.,application,neutral
"Yeah, of course smarty pants ""fix it now"")Software - Compared to the early 2011 edition I did see inbuilt applications crashing and it prompted me to send the report to Apple (which I promptly did).",Software,negative
"The internet was locekd and froze every time it was trying to be used, and the command prompt would not work at all.",internet,negative
"I upgraded the memory and replaced the base Windows 7 Starter to Win 7 Home, and it runs just fine.",Windows 7 Starter,neutral
Now when I order I did not go full scale for the webcam or full keyboard I wanted something for basics of being easy to carry when I use crutchs or wheelchair and with a backpack laptop bag.,keyboard,neutral
Then the hard drive failed;,hard drive,negative
"Some features arent friendly ( volume wheel, sound quality, etc.",features,negative
"Not too much ""junk"" software to remove.",software,positive
I love the operating system and the preloaded software.,operating system,positive
"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",garage band,positive
-I propose that I can just swap the hard drives.,hard drives,neutral
"It had a cooling system malfunction after 10 minutes of general use, and would not move past this error.",cooling system,negative
The battery doesn't last long but I'm sure an upgrade battery would solve that problem.,battery,negative
I had 3 months when the ports started going out.,ports,negative
"The Bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done.",software,negative
"Great value, fast delivery- Computer works as if brand new, no problems, very pleased",value,positive
"Your cursor will end up all over the freaking place,,,it's not uncommon for me to accidentally delete words, sentences, paragraphs because of this mousepad.",cursor,negative
"I just plug this into my 22"" Monitor and the speedy MacOSX performs just as well on this dual-core that my Dell did with Windows 7 with a quad-core.",quad-core,neutral
"They said that my computer was covered on an extended warranty, and that products with  extended warranties are taken care of through third parties and not Sony itself anymore.",extended warranties,neutral
"Even though it is running Snow Leopard, 2.4 GHz C2D is a bit of an antiquated CPU and thus the occasional spinning wheel would appear when running Office Mac applications such as Word or Excel.",Office Mac applications,negative
After about a week I finally got it back and was told that the motherboard had failed and so they installed a new motherboard.,motherboard,negative
Nightly my computer defrags itself and runs a virus scan.,virus scan,neutral
Not easy to carry.,carry,negative
"I wiped nearly everything off of it, installed OpenOffice and Firefox, and I am operating an incredibly efficient and useful machine for a great price.",Firefox,neutral
"I love my Apple, it is quick and easy to use.",use,positive
"After having two PC laptops die with in the past 3 years, I was led to the Apple display at Best Buy by the sleek design and promise of less tech issues.",tech issues,positive
The AMD Turin processor seems to always perform so much better than Intel.,Intel,negative
"  I was told by many  that it was a great computer, but we got one of these, and it worked  great for one year, and as soon as the warrenty was up, then it got  really bad.",warrenty,negative
"I wiped nearly everything off of it, installed OpenOffice and Firefox, and I am operating an incredibly efficient and useful machine for a great price.",price,positive
Returned laptop for a 3rd repair and it came back with previous problems fixed (except for speaker grill) but the unit started locking up during use and eventually would not operate at all.,speaker grill,negative
We researched and found the best price at MacConnection.,price,positive
the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it.,safari,negative
"All of the programs (Keynote, Pages, Numbers) have an option to save your documents as Microsoft compatible, which really eliminates the need for the actual.",programs,positive
The OS is still as fast as the day that the laptop was purchased and continues to run flawlessly.,run,positive
"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",Customer Service number,neutral
"So what am I supposed to do?  The LG service center cannot provide me the ""service"" when it is called the ""service center"".",LG service center,negative
The Mac version of Microsoft Office is cheaper than buying the actual and works just as well.,Mac version of Microsoft Office,positive
Could not keep up with me and finally the hard drive went out.,hard drive,negative
"I did think it had a camera because that was one of my requirements, but forgot to check in the specifications on this one before I purchased.",specifications,neutral
We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,memory,neutral
"All in all, a very disappointing experience except that I learned how good the Geek Squad is and also Customer Service.",Customer Service,positive
"A great feature is the spotlight search: one can search for documents by simply typing a keyword, rather than parsing tens of file folders for a document.",spotlight search,positive
"I have found also, it is very easy to be able to access wireless internet access;",wireless internet access,positive
The keyboard is slick and quiet and not bulky like some other laptops I have had in the past.,keyboard,positive
On my PowerBook G4 I would never use the trackpad I would use an external mouse because I didn't like the trackpad.,trackpad,negative
"  It gets stuck all of the time you use it, and you have to keep tapping on it to get it to work.",use,negative
MY ONLY PROBLEM IS I CAN NOT REG. THE PRODUCT KEY.,PRODUCT KEY,negative
The first full charge of this battery got me only about 2 full hours.,battery,negative
It has bein into the shop to get a new hardrive 2 times and to fix the touch control buttons on the keyboard!,touch control buttons,negative
not using wired lan not sure what thats about.,wired lan,neutral
"So, the hard disk capacity really doesn't matter to me.",hard disk capacity,neutral
I would recommend it just because of the internet speed probably because thats the only thing i really care about.,internet speed,positive
"The screen is nice, side view angles are pretty good.",screen,positive
"Overall : Poor, Features: Average, Performance: Poor, Battery Life: Excellent, Price-Value: Poor",Price,negative
Good for every day computing and web browsing.,web browsing,positive
Downfalls: sharp edges.,edges,negative
"In due course, I'll remove the hard disc from this new MacBook Pro and dump it where it belongs - in the trash.",hard disc,negative
"The screen is framed by half- to a full-inch margin that is obviously unnecessary, reduces the screen size and increases the bulk.",screen,negative
For me I was lucky and a local store was selling them for $2000 off and Best Buy matched their price so I was able to buy one for under $1000,price,positive
"Good keyboard, long battery life, largest hard drive and windows 7.",keyboard,positive
"I feel that it was poorly put together, because once in a while different plastic pieces would come off of it.",plastic pieces,negative
"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",cam,negative
I'm really impressed with the quality and performance for the price of the computer.,performance,positive
It has all the features that are necessary for college and if not they are able to be added onto the computer.,features,positive
and they replaced the awesome ergonomic small lightweight power supply with a power supply that weighed more than the machine itself.,power supply,negative
"The system constantly overheats, the battery life is too short, the case is coming apart, and my core applications that I use every day in my work as a graphic artist run poorly.",core applications,negative
"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.",GarageBand,positive
"I have Vista, so I am unable to install and uninstall  some programs.",uninstall ,negative
"Also, one of the users mentioned how the edges on the macbook is sharp, if you have money to spend on one of the incase shells, it doesn't seem to be a problem.",edges,negative
Was not happy with one of the programs on it.,one of the programs,negative
"The OS is also very user friendly, even for those that switch from a PC, with a little practice you can take full advantage of this OS!",OS,positive
I guess the only good thing that came out of these were the speakers and the subwoofer.,speakers,positive
"Granted, it's still a very new laptop but in comparison to my previous laptops and desktops, my Mac boots up noticeably quicker.",boots up,positive
I know what 7 hrs of battery looks like.,battery,positive
lots of extra space but the keyboard is ridiculously small.,keyboard,negative
"I picked it out because it was inexpensive ($400) and I thought it would be a good, easy to use first laptop.",use,positive
"That's very possible, but since they don't make Windows XP drivers for the sound card in this machine, I was stuck until Windows 7 came out.",Windows XP drivers,negative
Now when I order I did not go full scale for the webcam or full keyboard I wanted something for basics of being easy to carry when I use crutchs or wheelchair and with a backpack laptop bag.,webcam,neutral
"That's very possible, but since they don't make Windows XP drivers for the sound card in this machine, I was stuck until Windows 7 came out.",sound card,negative
We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,speed,positive
The difference is the Toshiba had a lot more memory and hard drive space.,memory,positive
A key contributor that led me to Mac is the art aspect.,art aspect,positive
"Theres also iDVD, a program dedicated to putting all your favorite media together- photos, recordings, video projects into one program so that you can create the perfect memoir for your parents, family, siblings, and any other person important in your life that there may be.",iDVD,positive
"The battery life has not decreased since I bought it, so i'm thrilled with that.",battery life,positive
I have to keep turning it until it decides to lower and there is no mute.,mute,negative
"  I considered I may have too much on the computer, but after looking, there was plenty of space and that is not the issue.",space,positive
Good for every day computing and web browsing.,every day computing,positive
It is easy to operate and I have already ordered more software and gadgets for my new Rolls Royce of laptops.,software,neutral
The price and features more than met my needs.,features,positive
"Theres also iDVD, a program dedicated to putting all your favorite media together- photos, recordings, video projects into one program so that you can create the perfect memoir for your parents, family, siblings, and any other person important in your life that there may be.",program,positive
I now realize that my $900 would have been better spent on a Windows laptop.,Windows,positive
"the headphone and mic jack are in front of touch-pad making the touch-pad hard to use when using headphones/mic, not to mention the laptop was designed for right handed person.",touch-pad,negative
The resolution on the screen is almost pure HD.,resolution on the screen,positive
"The Windows 7 Starter is, in my opinion, a great way to think about using your netbook: basics, basics, basics.",Windows 7 Starter,positive
"Apparently well-built and gorgeous to look at, the i5 MacBook Pro is a winning combination of price and performance.",look,positive
This is a nicely sized laptop with lots of processing power and long battery life.,sized,positive
Games being the main issue.,Games,negative
"I love the solid machined aluminum frame, and the keyboard is the best of any laptop I've used.",keyboard,positive
The Material this Pro is made out of seems a lot nicer than any PC  Specs: Like I said this performs a lot better than any computer I've had in the past.,Specs,negative
"We also use Paralles so we can run virtual machines of Windows XP Professional, Windows 7 Home Premium, Windows Server Enterprise 2003, and Windows Server 2008 Enterprise.",Windows 7 Home Premium,neutral
The only problem is a lack of screen resolutions!,screen resolutions,negative
"It didn't come with any software installed outside of windows media, but for the price, I was very pleased with the condition and the overall product.",price,positive
"The dv4 boasted a faster processor, more memory, and a bigger hard drive than my old computer, plus a better quality web cam, nicer screen, and many other features.",processor,positive
"There is a small red circle next to it with a x in the middle, and when I click on it it says: "" Consider replacing your battery"" and it does not hold full charge.",battery,neutral
"The battery never held a charge longer than one hour and within two months, stopped holding a charge for more than ten minutes.",charge,negative
They say that this will invalidate the warranty on the hard drive (I don't really understand why but anyway).,hard drive,neutral
(The SATA controller is the motherboard chip that lets the CPU talk to the hard drive.),motherboard chip,neutral
"Great battery, speed, display.",display,positive
It is sleek and lightweight and charges quickly when needed.,charges,positive
It is VERY easy to type on and feels great - besides the added feature that the keyboard is lighted.,feature,positive
"First, you ll discover that the word processing program known as  Appleworks  rarely translates perfectly on anyone else s computer, if it translates at all.",Appleworks,negative
"We also use Paralles so we can run virtual machines of Windows XP Professional, Windows 7 Home Premium, Windows Server Enterprise 2003, and Windows Server 2008 Enterprise.",Windows Server 2008 Enterprise,neutral
"It is short on space, and downloads always had problems being completed, or were said to be 'corrupted'.",space,negative
"Externally the keys on my keyboard are falling off, after a few uses the paint is rubbing off the button below the mouse pad and where the heals of my hands sit, and the screen has a terrible glare.",keys,negative
It really is perfect for work and play.,play,positive
"I connect a LaCie 2Big external drive via the firewire 800 interface, which is useful for Time Machine.",Time Machine,neutral
"  It was loaded with Windows Vista Home Premium--delivered with only 1GB of RAM, and it was a *dog*.",1GB of RAM,negative
I always use a backup hard disk to store important files at all times.,hard disk,neutral
"When I called Toshiba, they would not do anything and even tried to charge me $35 for the phone call, even though they didn't offer any technical support.",technical support,negative
"the headphone and mic jack are in front of touch-pad making the touch-pad hard to use when using headphones/mic, not to mention the laptop was designed for right handed person.",touch-pad,neutral
"Garageband is easy to work with, like all the other apple applications I've had experience with.",apple applications,positive
"But when I received my replacement, I made BOTH recovery DVDs (4), and a driver/application DVD.",driver/application DVD,neutral
keys are all in weird places and is way too large for the way it is designed.,designed,negative
This is my first Dell I heard their customer service was lacking and that they were working on improving it!,customer service,negative
I thought the price was great for the specs.,specs,positive
The online tutorial videos make it super easy to learn if you have always used a PC.,online tutorial videos,positive
COMPUTER HAS BEEN AT SERVICE FACILITY MORE THAN IN MY HANDS.,SERVICE FACILITY,negative
"Only other thing is that if you are using this for document creation Apple doesnt provide any kind of word processor (such as works for windows), but iwork is cheap compared to office.",iwork,positive
"The Mac Snow Leopard O/S is extremely easy to use, although very different than Win XP, Visa or Win7.",Win XP,neutral
"It is easy to use, has great screen quality, and every so light weight.",screen quality,positive
"The battery life was supposed to be 6 hours, but even if I ran off the battery with the high effeciency setting the battery would only last me on average about 2.5 to 3 hours.",battery,neutral
"No, tey don't even support their own bios and it ""could be a problem with the bios"" How can a company that makes a fairly decent product get away with such insanity??!!",bios,negative
I'm really impressed with the quality and performance for the price of the computer.,price,positive
I like how the Mac OS is so simple and easy to use.,Mac OS,positive
The price and features more than met my needs.,features,positive
It's just as fast with one program open as it is with sixteen open.,program,neutral
"Even so, I like playing online games, so it was wonderful that there is a feature where I can dualboot Windows.",Windows,positive
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",iPhoto,neutral
"The processor screams, and because of the unique way that Apple OSX 16 functions, most of the graphics are routed through the hardware rather than the software.",hardware,neutral
  After that the said it was under warranty.,warranty,neutral
I'm already hooked on the sleek look and dependability that this laptop has shown.,dependability,positive
"Seems to slow down occassionally but can run many applications (ie Internet tabs, programs, etc) simultaneously.",programs,neutral
  This time the mouse pad and right click key wouldn't work!,right click key,negative
"It is a much more streamlined system for adding programs, using the internet, and doing other things everyone does on a computer.",using the internet,neutral
Battery is lasting about 6 hours as I am surfing the web on Sundays while checking football scores and watching funny Youtube videos.,Battery,neutral
BUT there's this application called Boot Camp which allows you to add another OS X like Windows.,Windows,neutral
  I was also able to install and use my Photoshop and AfterEffects programs easily.,AfterEffects programs,positive
"Called tech support and got the usual Acer ""We don't support software but for $$$ we can help you"" I explained there was no software involved in booting.",software,negative
Sometimes you really have to tap the pad to get it to worki,pad,negative
"The port is secured to motherboard so when this  happens you can't see the plug at all, it's just gone.",port,neutral
"-4 RAM slots, 2 HDD Bays*, 16GB RAM support -No Wireless Issues, at least for me.",16GB RAM support,neutral
That system is fixed.,system,neutral
  i must keep it plugged in at all times because it will not keep a charge for longer than four minutes.,charge,negative
This MacBook is an outstanding product with great value.,value,positive
"So, I took it back to the apple store and they narcissist genius bar staff) fixed it by resetting the fan at boot up.",boot up,neutral
"-4 RAM slots, 2 HDD Bays*, 16GB RAM support -No Wireless Issues, at least for me.",RAM slots,neutral
"While I mostly use it for email, internet and gaming, I'm confident all other applications live up to the high standard I've come to appreciate from Mac laptops.",applications,positive
"As with any laptop not purchased with software options, it comes with a lot of what I consider useless applications.",software options,negative
"Three weeks after I bought the netbook, the screen quit working.",screen,negative
Everything about this computer is easy to use.,use,positive
It could be a perfect laptop if it would have faster system memory and its radeon 5850 would have DDR5 instead of DDR3.,DDR3,negative
At first it worked well for a month or so then the system board failed and I send it in to toshiba some complaints and three weeks later I then receive my laptop back only to discover that it still has the same problem so now I have to send it back again to get it fixed again.,system board,negative
Design: very durable.,Design,positive
Sound card is limited though.,Sound card,negative
It was secure and easy to navigate.,navigate,positive
I purchased this netbook after my original Toshiba laptop crashed right after the warranty expired.,warranty,negative
also it comes with very useful applications like iphoto that it is the best photo application i have ever had,applications,positive
they had to replace the motherboard in April,motherboard,negative
So what if the laptops/mobile phones look chic and cool? The after sales support is terrible.,after sales support,negative
"I just plug this into my 22"" Monitor and the speedy MacOSX performs just as well on this dual-core that my Dell did with Windows 7 with a quad-core.",dual-core,neutral
"Laptops are usually used on the go, so why not give you a better battery?",battery,negative
"We also use Paralles so we can run virtual machines of Windows XP Professional, Windows 7 Home Premium, Windows Server Enterprise 2003, and Windows Server 2008 Enterprise.",Paralles,neutral
I had to re-install Windows within two weeks of the purchase and soon discovered cracks in the screen hinges.,screen hinges,negative
Its also FUN to use!,use,positive
It's priced very reasonable and works very well right out of the box.,priced,positive
All I will say now is that it was over two grand less expensive and so much better quality than my hunk of crap Vaio.,quality,positive
  Toshiba is aware of the issue but unless the extended warrenty is bought Toshiba will do nothing about it.,extended warrenty,negative
  After the warrenty expired the hard drive went bad and it would have cost more to fix then to replace.,hard drive,negative
"I'm still within the one year warranty but the repair ""depot""  has deemed that this time it was caused by physical abuse and is not  covered.","repair ""depot""",negative
"So, I paid a visit to LG notebook service center at Alexandra Road, hoping they can make the hinge tighter.",hinge,negative
"The quality, engineering design and warranty are superior--covers damage from dropping the laptop.",engineering design,positive
""">  iPhoto is probably the best program I have ever worked with: easy and convenient.",iPhoto,positive
The battery has never worked well.,battery,negative
I personally like the gaming look but needed a machine that delivered gaming performance while still looking professional in front of my customers.,gaming performance,positive
Not to mention sometimes the whole charger unit will decide not to work entirely.,charger unit,negative
the size of has actually help me out quite a bit by me being able to fit it in an already full backpack and to use it at a resturant where the food on the table is always so space consuming.,size,positive
Cords coming out the right for power plus cords coming out front for headphones/mic plus network connection on left make for a very messy setup with cords going every direction.,mic,negative
I'm learning the finger options for the mousepad that allow for quicker browsing of web pages.,mousepad,positive
I believe that the quality of a mac is worth the price.,quality,positive
"Other installed features, such as certain printer software, are also most attractive.",features,positive
  The casing of the power cord fried and shocked my husband when he pulled it out of the socket.,casing of the power cord,negative
Right size and weight for portability.,portability,positive
"Overall, this laptop is definitely a keeper with its simple yet stylish design and its array of fantastic colors to choose from.",colors,positive
Ive had to call tech support many times.,tech support,neutral
"PC users work in Word, while Mac users work in Pages.",Word,neutral
"Some features arent friendly ( volume wheel, sound quality, etc.",volume wheel,negative
The only thing I would change about it is the mouse keys.,mouse keys,negative
